"nombre_producto","imagen_url","categoria"
"ANILLAS GALLINA 16 MM","https://www.jpmascota.com/1000-home_default/anillas-gallina-16-mm-clip.jpg","ACCESORIOS DE GANADERÍA"
"ANILLAS PARA PALOMAS","https://www.jpmascota.com/1005-home_default/anillas-para-palomas.jpg","ACCESORIOS DE GANADERÍA"
"ANILLO ANTI-DESPERDICIO TOLVA 10 KG","https://www.jpmascota.com/982-home_default/anillo-anti-desperdicio-tolva-10-kg.jpg","ACCESORIOS DE GANADERÍA"
"ANILLO ANTI-DESPERDICIO TOLVA 20 KG","https://www.jpmascota.com/983-home_default/anillo-anti-desperdicio-tolva-20-kg.jpg","ACCESORIOS DE GANADERÍA"
"BEBEDERO AUTOMÁTICO 50 CM","https://www.jpmascota.com/979-home_default/bebedero-automatico-50-cm-8-huecos.jpg","ACCESORIOS DE GANADERÍA"
"BEBEDERO AUTOMÁTICO CONEJOS","https://www.jpmascota.com/1111-home_default/bebedero-gaun-automatico-conejos.jpg","ACCESORIOS DE GANADERÍA"
"BEBEDERO AVES 2 LITROS","https://www.jpmascota.com/988-home_default/bebedero-gaun-aves-2-l.jpg","ACCESORIOS DE GANADERÍA"
"BEBEDERO AVES CON BOTELLA 2 L.","https://www.jpmascota.com/1356-home_default/bebedero-aves-con-botella-2-l.jpg","ACCESORIOS DE GANADERÍA"
"BEBEDERO AVES CON BOTELLA 3 L.","https://www.jpmascota.com/1357-home_default/bebedero-aves-con-botella-3-l.jpg","ACCESORIOS DE GANADERÍA"
"BEBEDERO AVES ECO 1,5 LITROS","https://www.jpmascota.com/1497-home_default/bebedero-aves-eco-15-litros.jpg","ACCESORIOS DE GANADERÍA"
"BEBEDERO AVES ECO 5 LITROS","https://www.jpmascota.com/965-home_default/bebedero-aves-eco-5-ltros.jpg","ACCESORIOS DE GANADERÍA"
"BEBEDERO AVES ECO PATAS 10 LITROS","https://www.jpmascota.com/2798-home_default/-bebedero-aves-eco-patas-10-litros.jpg","ACCESORIOS DE GANADERÍA"
"BEBEDERO AVES ECO PATAS 3 LITROS","https://www.jpmascota.com/2792-home_default/-bebedero-aves-eco-patas-3-litros.jpg","ACCESORIOS DE GANADERÍA"
"BEBEDERO AVES ECO PATAS 5 LITROS","https://www.jpmascota.com/2794-home_default/-bebedero-aves-eco-patas-5-litros.jpg","ACCESORIOS DE GANADERÍA"
"BEBEDERO AVES ECO PATAS 8 LITROS","https://www.jpmascota.com/2796-home_default/-bebedero-aves-eco-patas-8-litros.jpg","ACCESORIOS DE GANADERÍA"
"BEBEDERO AVES MINI AUTOMATICO","https://www.jpmascota.com/1226-home_default/bebedero-aves-mini-automatico.jpg","ACCESORIOS DE GANADERÍA"
"BEBEDERO AVES MINI AUTOMATICO","https://www.jpmascota.com/1340-home_default/bebedero-aves-mini-automatico.jpg","ACCESORIOS DE GANADERÍA"
"BEBEDERO BASCULANTE","https://www.jpmascota.com/993-home_default/bebedero-basculante.jpg","ACCESORIOS DE GANADERÍA"
"BEBEDERO BASCULANTE AVES 10 MM","https://www.jpmascota.com/994-home_default/bebedero-basculante-aves-10-mm.jpg","ACCESORIOS DE GANADERÍA"
"BEBEDERO CABALLOS EMPUJADOR","https://www.jpmascota.com/1014-home_default/bebedero-caballos-empujador.jpg","ACCESORIOS DE GANADERÍA"
"BEBEDERO CAZOLETA AVES","https://www.jpmascota.com/996-home_default/bebedero-cazoleta-gallinas.jpg","ACCESORIOS DE GANADERÍA"
"BEBEDERO CONEJOS MINI AUTOMÁTICO","https://www.jpmascota.com/1344-home_default/-bebedero-conejos-mini-autom%C3%A1tico.jpg","ACCESORIOS DE GANADERÍA"
